A       一
B;N     迦
B;QD    哿
B;V     架
B;YC    躄
B;YD    幦
B;YF    辟
B;YH    璧
B;YH    甓
B;YJ    劈
B;YN    避
B;YN    憵
B;YO    擘
B;YR    壁
B;YT    鼊
B;YU    臂
B;YV    檗
B;YW    嬖
B;YX    袈
B;YX    襞
B;YX    繴
B;YY    譬
B;Y,    糪
B;Y,    鷿
B,      屎
C       小
C       卜
C       水
CAAC    沶
CAAG    污
CAAM    澬
CAAS    沅
CAAX    沄
CAD     汀
CADG    沔
CADS    沌
CAE     洱
CAEE    灄
CAE,    漹
CAF     汗
CAF     汙
CAF     汧
CAFU    盓
CAI     泙
CAIB    叢
CAIH    對
CAII    鑿
CAIN    懟
CAIT    鄴
CAIV    業
CAJD    沛
CAJQ    灑
CAK.    濔
CALE    湎
CALE    洏
CALZ    渜
CAL.    瀀
CAME    洌
CAP     酒
CAPA    洹
CAP.    浭
CAR     汪
CARL    濏
CAS     光
CASQ    輝
CASY    耀
CATW    淒
CAT;    浯
CAV     沬
CAW     沍
CAWQ    涇
CAXP    溍
CAXR    溼
CAXR    洷
CAXX    淺
CAZC    添
CA.H    涿
CA.P    瀦
CA/     洒
CA/C    漂
CA/F    潭
CA/R    湮
CA/V    溧
CA,     黹
CA,H    黻
CA,H    黼
CA,J    黺
CB      氻
CBAR    渥
CBAZ    湀
CBBF    濢
CBBK    瀷
CBBY    濯
CBB.    漻
CBC/    灟
CBDD    淈
CBF;    涺
CBGD    沀
CBGF    潺
CBGM    澦
CBG;    潏
CBH     汊
CBH/    溞
CBJ     湄
CBJB    湧
CBJE    涮
CBJF    涌
CBLQ    浘
CBQ     泥
CBQI    澄
CBQS    溉
CBRB    澱
CBRP    潳
CBTB    潑
CBZ     漏
CB;     泇
CB;F    澼
CC      沝
CCAH    濧
CCAS    洸
CCAV    澲
CCC     淼
CCJP    澢
CCJR    漟
CCJ;    淌
CCL     沙
CCLG    硰
CCLJ    渻
CCLN    逤
CCLO    挲
CCLW    娑
CCLX    裟
CCL,    鯊
CCP     涾
CCRK    濷
CCU     消
CD      汕
CD      沜
CDAE    湍
CDA.    溦
CDA.    澂
CDA/    滍
CDD     泏
CDIG    涔
CDKY    漼
CDQI    溰
CDUU    漰
CDXS    湚
CDZ,    湠
CE      淵
CE      沚
CEAB    淑
CEAR    潤
CEA.    澽
CEC     涉
CECM    瀕
CED     汌
CEJJ    濬
CELC    灁
CELI    滹
CEM     湞
CEMA    瀣
CEM,    澯
CEP     澗
CEPF    淖
CEPH    滷
CEPN    濾
CEPU    瀘
CEQ     泚
CES     淲
CES.    滮
CEV     澖
CEV/    瀾
CEY.    潣
CEZX    濊
CE;     沾
CE;F    灛
CE;N    惉
CE;Z    澞
CF      汁
CFAF    澕
CFB     汥
CFD     汫
CFDI    灃
CFDU    灩
CFE     淽
CFE/    灡
CFFM    濆
CFG     湱
CFH     淓
CFJB    渤
CFJF    浡
CFJF    湳
CFJX    潔
CFJX    溹
CFJZ    渶
CFJ.    濛
CFKB    濩
CFK;    濇
CFLN    濍
CFN,    瀳
CFP     渵
CFPB    瀚
CFPF    澣
CFPF    濣
CFPM    澫
CFPS    漧
CFPU    潮
CFPZ    漠
CFQD    渮
CFQU    灆
CFRU    濭
CFTE    瀟
CFUA    淔
CFUK    滇
CFZF    漭
CFZ;    渃
CF/X    瀎
CF;     沽
CF;U    湖
CF;Y    灌
CG      沰
CGCD    涵
CGCU    湑
CGDS    池
CGQ     泀
CGS     氾
CGV     淭
CGZH    淚
CG;S    滬
CG,     溤
CH      汸
CHB     泳
CHDD    洲
CHKH    淤
CHL,    溈
CHOC    漩
CHOF    游
CHOS    湤
CHTX    浪
CI      淦
CI      泮
CIB     泠
CICA    湴
CICP    潽
CIDU    溯
CIF     洋
CIF     洴
CIF;    涻
CIGN    淰
CIJF    淪
CIKU    溢
CIRB    漾
CIRQ    溠
CIRX    瀁
CIRZ    渼
CIR,    溔
CITC    溓
CIT;    滄
CIUE    渝
CIUE    湔
CIV     涂
CIVR    塗
CIV.    漵
CIXN    濨
CIXX    滋
CIZ     浂
CIZX    潫
CI/P    澮
CI;     洽
CI;B    潝
CI;F    渰
CI;F    瀹
CI;K    澰
CI;.    瀲
CJAT    澠
CJCL    渺
CJG     濎
CJHE    澀
CJHN    涊
CJHV    梁
CJH,    粱
CJJF    澥
CJJY    灈
CJJZ    渙
CJK     汭
CJKU    盜
CJKV    深
CJKY    濉
CJK;    浻
CJK;    滘
CJO     淊
CJPK    溟
CJP.    潒
CJQ     洞
CJQ     渾
CJRK    淟
CJR;    淍
CJS     沈
CJS     沉
CJS     涀
CJY.    浵
CJZ     泱
CJZH    湨
CJZS    洈
CJZY    澹
CJ;     尚
CJ;     沼
CJ;     泂
CJ;D    常
CJ;H    瓽
CJ;H    瀺
CJ;L    牚
CJ;M    賞
CJ;O    掌
CJ;P    當
CJ;P    嘗
CJ;Q    氅
CJ;R    堂
CJ;S    党
CJ;S    浼
CJ;V    棠
CJ;X    裳
CJ;.    敞
CJ;,    黨
CK      尐
CK      汃
CKCZ    濮
CKDU    滫
CKDV    滌
CKD.    浟
CKFH    泭
CKIF    溣
CKJ     汾
CKJU    湓
CKKX    瀸
CKK;    浴
CKQ     沎
CKTL    涕
CKTL    洢
CKXB    滃
CKY     雀
CKY     淮
CKYF    準
CKYV    潗
CKY/    蠽
CKY,    潐
CKZH    洑
CK.     沴
CK.I    滏
CK/P    潧
CK;     沿
CK;S    涗
CL      少
CLB     劣
CLB     沒
CLB     汲
CLBJ    瀄
CLEB    涎
CLED    溮
